Station,income
1 AV,79452
103 ST,96843
103 ST-CORONA,51677
104 ST,83571
110 ST,32537
111 ST,65431
116 ST,50608
116 ST-COLUMBIA,117625
121 ST,49239
125 ST,40300
135 ST,78594
14 ST,63588
14 ST-UNION SQ,141384
145 ST,52658
14TH STREET,169679
15 ST-PROSPECT,101125
155 ST,45912
157 ST,53355
163 ST-AMSTERDM,51853
167 ST,31225
169 ST,40745
170 ST,28192
174 ST,16121
175 ST,35110
176 ST,25304
18 AV,67917
18 ST,160987
181 ST,86422
183 ST,23734
190 ST,103125
191 ST,30125
2 AV,48832
20 AV,55231
207 ST,20338
21 ST,17411
215 ST,72366
219 ST,44375
225 ST,31685
23 ST,121183
231 ST,48701
233 ST,49189
238 ST,23889
25 AV,60792
25 ST,67614
28 ST,142700
3 AV,93077
33 ST,110522
34 ST-HERALD SQ,115139
34 ST-PENN STA,100813
36 ST,54265
42 ST-BRYANT PK,142721
45 ST,59630
46 ST,64621
50 ST,30354
51 ST,94938
53 ST,41313
55 ST,39444
57 ST,138235
57 ST-7 AV,164773
59 ST,34965
6 AV,145350
63 DR-REGO PARK,58750
65 ST,45465
66 ST-LINCOLN,146771
67 AV,78213
7 AV,128421
71 ST,50625
72 ST,133942
74 ST-BROADWAY,48005
75 AV,86750
77 ST,83309
79 ST,61250
8 AV,45667
81 ST-MUSEUM,
82 ST-JACKSON H,65042
86 ST,71611
9 AV,51000
90 ST-ELMHURST,49747
96 ST,110625
ALABAMA AV,31222
ALLERTON AV,37188
ATLANTIC AV,87115
BAY 50 ST,46250
BAY RIDGE AV,48906
BAY RIDGE-95 ST,75580
BAYCHESTER AV,50375
BEACH 105 ST,49398
BEACH 25 ST,60294
BEACH 36 ST,33571
BEACH 44 ST,40833
BEACH 60 ST,32316
BEACH 67 ST,57639
BEACH 90 ST,43520
BEACH 98 ST,64688
BEDFORD AV,100395
BERGEN ST,142727
BEVERLEY ROAD,113696
BLEECKER ST,145694
BOTANIC GARDEN,52191
BOWERY,50797
BOWLING GREEN,158900
BRIGHTON BEACH,37155
BROAD CHANNEL,85147
BROAD ST,157209
BROADWAY,55170
BRONX PARK EAST,32222
BROOK AV,25903
BROOKLYN BRIDGE,27247
BUHRE AV,53000
BURKE AV,40077
BURNSIDE AV,23873
BUSHWICK AV,59500
CANAL ST,153281
CARROLL ST,150764
CASTLE HILL AV,52163
CENTRAL AV,67262
CHAMBERS ST,250001
CHAUNCEY ST,37807
CHRISTOPHER ST,101269
CHURCH AV,74879
CLARK ST,107425
CLASSON AV,79300
CLEVELAND ST,61071
CLINTON-WASH AV,96111
CORTLANDT ST,158900
COURT SQ,126935
COURT SQ-23 ST,136724
CRESCENT ST,41670
CROWN HTS-UTICA,38375
CYPRESS AV,14375
CYPRESS HILLS,
DEKALB AV,105042
DITMAS AV,48750
DYCKMAN ST,49639
E 149 ST,29939
E 180 ST,32222
EAST 105 ST,49830
EAST BROADWAY,18650
ELDER AV,34167
ELMHURST AV,38587
EUCLID AV,35338
EXCHANGE PLACE,
FAR ROCKAWAY,60294
FLUSHING AV,31724
FRANKLIN AV,64091
FRANKLIN ST,199347
FREEMAN ST,32500
FT HAMILTON PKY,60833
FULTON ST,159911
GATES AV,39419
GRAHAM AV,89825
GRAND ARMY PLAZ,126250
GRAND ST,50797
GRANT AV,37173
GREENPOINT AV,81101
GROVE STREET,
HALSEY ST,35536
HARRISON,
HEWES ST,55170
HIGH ST,108250
HOUSTON ST,153281
HOYT ST,105042
HUNTERS PT AV,142348
HUNTS POINT AV,28364
INWOOD-207 ST,37362
JACKSON AV,30577
JAMAICA CENTER,
JAY ST-METROTEC,136417
JEFFERSON ST,44688
JFK JAMAICA CT1,
JOURNAL SQUARE,
JUNCTION BLVD,49706
JUNIUS ST,24769
KINGSBRIDGE RD,38382
KINGSTON AV,52917
KINGSTON-THROOP,67206
KNICKERBOCKER,56875
KOSCIUSZKO ST,45219
LAFAYETTE AV,95500
LIBERTY AV,31222
LIVONIA AV,11858
LONGWOOD AV,30158
LORIMER ST,94750
MARBLE HILL-225,33627
MARCY AV,55170
METROPOLITAN AV,94750
METS-WILLETS PT,
MONTROSE AV,29922
MORGAN AV,57137
MORRIS PARK,58553
MT EDEN AV,30337
MYRTLE AV,62824
MYRTLE-WILLOUGH,56771
NASSAU AV,98393
NEPTUNE AV,46114
NEREID AV,40325
NEVINS ST,137109
NEW LOTS AV,17303
NEW UTRECHT AV,54362
NEWKIRK AV,65288
NORTHERN BLVD,79402
NORWOOD AV,57411
NOSTRAND AV,50575
PARK PLACE,250001
PARKSIDE AV,46810
PARSONS BLVD,61902
PATH WTC 2,158900
PELHAM BAY PARK,55903
PENNSYLVANIA AV,30598
PRESIDENT ST,50575
PROSPECT AV,108171
PROSPECT PARK,40339
QUEENS PLAZA,
QUEENSBORO PLZ,136724
RALPH AV,49149
RECTOR ST,158900
RIT-MANHATTAN,116537
RIT-ROOSEVELT,100278
ROCKAWAY AV,53190
ROCKAWAY BLVD,87679
SARATOGA AV,43085
SHEEPSHEAD BAY,57399
SHEPHERD AV,45673
SIMPSON ST,21322
SMITH-9 ST,94000
SOUTH FERRY,195313
SPRING ST,105000
ST LAWRENCE AV,39662
ST. GEORGE,77917
STEINWAY ST,87721
STERLING ST,37329
SUTPHIN BLVD,48333
SUTTER AV,23165
THIRTY THIRD ST,115139
TOMPKINSVILLE,56146
TREMONT AV,23191
TWENTY THIRD ST,121183
UNION ST,94000
UTICA AV,50417
VAN SICLEN AV,31222
W 4 ST-WASH SQ,145350
W 8 ST-AQUARIUM,46114
WALL ST,157209
WESTCHESTER SQ,41313
WHITLOCK AV,22396
WILSON AV,
WINTHROP ST,51214
WORLD TRADE CTR,250001
YORK ST,108250
ZEREGA AV,47917
